Title,Category,Authors,Date,PDF
Exemplar-Based 3D Portrait Stylization,CV,"Fangzhou Han, Shuquan Ye, Mingming He, Menglei Chai, Jing Liao","29 April, 2021",https://arxiv.org/pdf/2104.14559
A Large-Scale Study on Unsupervised Spatiotemporal Representation Learning,CV,"Christoph Feichtenhofer, Haoqi Fan, Bo Xiong, Ross Girshick, Kaiming He","29 April, 2021",https://arxiv.org/pdf/2104.14558
Learned Spatial Representations for Few-shot Talking-Head Synthesis,CV,"Moustafa Meshry, Saksham Suri, Larry S. Davis, Abhinav Shrivastava","29 April, 2021",https://arxiv.org/pdf/2104.14557
Discover the Unknown Biased Attribute of an Image Classifier,CV,"Zhiheng Li, Chenliang Xu","29 April, 2021",https://arxiv.org/pdf/2104.14556
MongeNet: Efficient Sampler for Geometric Deep Learning,CV,"Léo Lebrat, Rodrigo Santa Cruz, Clinton Fookes, Olivier Salvado","29 April, 2021",https://arxiv.org/pdf/2104.14554
MarioNette: Self-Supervised Sprite Learning,CV,"Dmitriy Smirnov, Michael Gharbi, Matthew Fisher, Vitor Guizilini, Alexei A. Efros, Justin Solomon","29 April, 2021",https://arxiv.org/pdf/2104.14553
Ensembling with Deep Generative Views,CV,"Lucy Chai, Jun-Yan Zhu, Eli Shechtman, Phillip Isola, Richard Zhang","29 April, 2021",https://arxiv.org/pdf/2104.14551
Medium Access using Distributed Reinforcement Learning for IoTs with Low-Complexity Wireless Transceivers,LG,"Hrishikesh Dutta, Subir Biswas","29 April, 2021",https://arxiv.org/pdf/2104.14549
With a Little Help from My Friends: Nearest-Neighbor Contrastive Learning of Visual Representations,CV,"Debidatta Dwibedi, Yusuf Aytar, Jonathan Tompson, Pierre Sermanet, Andrew Zisserman","29 April, 2021",https://arxiv.org/pdf/2104.14548
NURBS-Diff: A Differentiable NURBS Layer for Machine Learning CAD Applications,LG,"Anjana Deva Prasad, Aditya Balu, Harshil Shah, Soumik Sarkar, Adarsh Krishnamurthy","29 April, 2021",https://arxiv.org/pdf/2104.14547
Soft Mode in the Dynamics of Over-realizable On-line Learning for Soft Committee Machines,LG,"Frederieke Richert, Roman Worschech, Bernd Rosenow","29 April, 2021",https://arxiv.org/pdf/2104.14546
LightTrack: Finding Lightweight Neural Networks for Object Tracking via One-Shot Architecture Search,CV,"Bin Yan, Houwen Peng, Kan Wu, Dong Wang, Jianlong Fu, Huchuan Lu","29 April, 2021",https://arxiv.org/pdf/2104.14545
AutoFlow: Learning a Better Training Set for Optical Flow,CV,"Deqing Sun, Daniel Vlasic, Charles Herrmann, Varun Jampani, Michael Krainin, Huiwen Chang, Ramin Zabih, William T. Freeman, Ce Liu","29 April, 2021",https://arxiv.org/pdf/2104.14544
Optimal training of variational quantum algorithms without barren plateaus,LG,"Tobias Haug, M. S. Kim","29 April, 2021",https://arxiv.org/pdf/2104.14543
The Temporal Opportunist: Self-Supervised Multi-Frame Monocular Depth,CV,"Jamie Watson, Oisin Mac Aodha, Victor Prisacariu, Gabriel Brostow, Michael Firman","29 April, 2021",https://arxiv.org/pdf/2104.14540
Distributed Multigrid Neural Solvers on Megavoxel Domains,LG,"Aditya Balu, Sergio Botelho, Biswajit Khara, Vinay Rao, Chinmay Hegde, Soumik Sarkar, Santi Adavani, Adarsh Krishnamurthy, Baskar Ganapathysubramanian","29 April, 2021",https://arxiv.org/pdf/2104.14538
You Can Still Achieve Fairness Without Sensitive Attributes: Exploring Biases in Non-Sensitive Features,LG,"Tianxiang Zhao, Enyan Dai, Kai Shu, Suhang Wang","29 April, 2021",https://arxiv.org/pdf/2104.14537
State-level Racially Motivated Hate Crimes Contrast Public Opinion on the #StopAsianHate and #StopAAPIHate Movement,SI,"Hanjia Lyu, Yangxin Fan, Ziyu Xiong, Mayya Komisarchik, Jiebo Luo","29 April, 2021",https://arxiv.org/pdf/2104.14536
A Hierarchical Transformation-Discriminating Generative Model for Few Shot Anomaly Detection,CV,"Shelly Sheynin, Sagie Benaim, Lior Wolf","29 April, 2021",https://arxiv.org/pdf/2104.14535
On the Emergence of Whole-body Strategies from Humanoid Robot Push-recovery Learning,RO,"Diego Ferigo, Raffaello Camoriano, Paolo Maria Viceconte, Daniele Calandriello, Silvio Traversaro, Lorenzo Rosasco, Daniele Pucci","29 April, 2021",https://arxiv.org/pdf/2104.14534
The Big Brother NaijaTV Reality Show as Coordinate of Media Functions and Dysfunctions,MM,"Bolu John Folayan, Olubunmi Ajibade, Olubunmi Dipo-Adedoyin, Toyin Segun Onayinka, Toluwani Titilola Folayan","29 April, 2021",https://arxiv.org/pdf/2104.14532
GasHis-Transformer: A Multi-scale Visual Transformer Approach for Gastric Histopathology Image Classification,CV,"Haoyuan Chen, Chen Li, Xiaoyan Li, Ge Wang, Weiming Hu, Yixin Li, Wanli Liu, Changhao Sun, Yudong Yao, Marcin Grzegorzek","29 April, 2021",https://arxiv.org/pdf/2104.14528
Online certification of preference-based fairness for personalized recommender systems,LG,"Virginie Do, Sam Corbett-Davies, Jamal Atif, Nicolas Usunier","29 April, 2021",https://arxiv.org/pdf/2104.14527
Scaling and Scalability: Provable Nonconvex Low-Rank Tensor Estimation from Incomplete Measurements,LG,"Tian Tong, Cong Ma, Ashley Prater-Bennette, Erin Tripp, Yuejie Chi","29 April, 2021",https://arxiv.org/pdf/2104.14526
Automatic Generation of H.264 Parameter Sets to Recover Video File Fragments,MM,"Enes Altinisik, Hüsrev Taha Sencar","29 April, 2021",https://arxiv.org/pdf/2104.14522
On Linear Time Decidability of Differential Privacy for Programs with Unbounded Inputs,CR,"Rohit Chadha, A. Prasad Sistla, Mahesh Viswanathan","29 April, 2021",https://arxiv.org/pdf/2104.14519
Brain-inspired computing: We need a master plan,ET,"Adnan Mehonic, Anthony J Kenyon","29 April, 2021",https://arxiv.org/pdf/2104.14517
Constructions in combinatorics via neural networks,LG,Adam Zsolt Wagner,"29 April, 2021",https://arxiv.org/pdf/2104.14516
A General Katsuno-Mendelzon-Style Characterization of AGM Belief Base Revision for Arbitrary Monotonic Logics,AI,"Faiq Miftakhul Falakh, Sebastian Rudolph, Kai Sauerwald","29 April, 2021",https://arxiv.org/pdf/2104.14512
Improved Kernels for Edge Modification Problems,DS,"Yixin Cao, Yuping Ke","29 April, 2021",https://arxiv.org/pdf/2104.14510
Explainable AI For COVID-19 CT Classifiers: An Initial Comparison Study,LG,"Qinghao Ye, Jun Xia, Guang Yang","25 April, 2021",https://arxiv.org/pdf/2104.14506
An Axiomatic Theory of Provably-Fair Welfare-Centric Machine Learning,LG,Cyrus Cousins,"29 April, 2021",https://arxiv.org/pdf/2104.14504
Identifying Hubs in Undergraduate Course Networks Based on Scaled Co-Enrollments: Extended Version,SI,"Gary M. Weiss, Nam Nguyen, Karla Dominguez, Daniel D. Leeds","27 April, 2021",https://arxiv.org/pdf/2104.14500
"Questioning causality on sex, gender and COVID-19, and identifying bias in large-scale data-driven analyses: the Bias Priority Recommendations and Bias Catalog for Pandemics",CY,"Natalia Díaz-Rodríguez, Rūta Binkytė-Sadauskienė, Wafae Bakkali, Sannidhi Bookseller, Paola Tubaro, Andrius Bacevicius, Raja Chatila","29 April, 2021",https://arxiv.org/pdf/2104.14492
"On the Complexity of Recognizing Integrality and Total Dual Integrality of the <span class=""MathJax_Preview"" style="""">\{0,1/2\}</span><span class=""MathJax MathJax_Processing"" id=""MathJax-Element-17-Frame"" tabindex=""0""></span><script type=""math/tex"" id=""MathJax-Element-17"">\{0,1/2\}</script>-Closure",DM,"Matthias Brugger, Andreas S. Schulz","29 April, 2021",https://arxiv.org/pdf/2104.14486
"Experts, Errors, and Context: A Large-Scale Study of Human Evaluation for Machine Translation",CL,"Markus Freitag, George Foster, David Grangier, Viresh Ratnakar, Qijun Tan, Wolfgang Macherey","29 April, 2021",https://arxiv.org/pdf/2104.14478
Reverse Shortest Path Problem for Unit-Disk Graphs,CG,"Haitao Wang, Yiming Zhao","29 April, 2021",https://arxiv.org/pdf/2104.14476
Learning Hamiltonian dynamics by reservoir computer,LG,"Han Zhang, Huawei Fan, Liang Wang, Xingang Wang","23 April, 2021",https://arxiv.org/pdf/2104.14474
Impact of Encoding and Segmentation Strategies on End-to-End Simultaneous Speech Translation,CL,"Ha Nguyen, Yannick Estève, Laurent Besacier","29 April, 2021",https://arxiv.org/pdf/2104.14470
Star DGT: a Robust Gabor Transform for Speech Denoising,SD,"Vasiliki Kouni, Holger Rauhut","29 April, 2021",https://arxiv.org/pdf/2104.14468
Towards a practical lip-to-speech conversion system using deep neural networks and mobile application frontend,CV,"Frigyes Viktor Arthur, Tamás Gábor Csapó","29 April, 2021",https://arxiv.org/pdf/2104.14467
3D Human Action Representation Learning via Cross-View Consistency Pursuit,CV,"Linguo Li, Minsi Wang, Bingbing Ni, Hang Wang, Jiancheng Yang, Wenjun Zhang","29 April, 2021",https://arxiv.org/pdf/2104.14466
Twin Systems for DeepCBR: A Menagerie of Deep Learning and Case-Based Reasoning Pairings for Explanation and Data Augmentation,AI,"Mark T Keane, Eoin M Kenny, Mohammed Temraz, Derek Greene, Barry Smyth","29 April, 2021",https://arxiv.org/pdf/2104.14461
MUSE: Multi-faceted Attention for Signed Network Embedding,SI,"Dengcheng Yan, Youwen Zhang, Wei Li, Yiwen Zhang","29 April, 2021",https://arxiv.org/pdf/2104.14449
Parallel implementation of a compatible high-order meshless method for the Stokes' equations,DC,"Quang-Thinh Ha, Paul A. Kuberry, Nathaniel A. Trask, Emily M. Ryan","29 April, 2021",https://arxiv.org/pdf/2104.14447
Trakhtenbrot's Theorem in Coq: Finite Model Theory through the Constructive Lens,LO,"Dominik Kirst, Dominique Larchey-Wendling","29 April, 2021",https://arxiv.org/pdf/2104.14445
Improving Simulations with Symmetry Control Neural Networks,LG,"Marc Syvaeri, Sven Krippendorf","29 April, 2021",https://arxiv.org/pdf/2104.14444
Deterministic Algorithms for the Hidden Subgroup Problem,DS,Ashwin Nayak,"29 April, 2021",https://arxiv.org/pdf/2104.14436
Customizable Reference Runtime Monitoring of Neural Networks using Resolution Boxes,LG,"Changshun Wu, Yliès Falcone, Saddek Bensalem","25 April, 2021",https://arxiv.org/pdf/2104.14435
Machine-Learning Assisted Optimization Strategies for Phase Change Materials Embedded within Electronic Packages,CE,"Meghavin Bhatasana, Amy Marconnet","21 April, 2021",https://arxiv.org/pdf/2104.14433
Bounds on the Number of Mass Points of the Capacity Achieving Distribution of the Amplitude Constraint Poisson Noise Channel,IT,"Alex Dytso, Luca Barletta, Shlomo Shamai","29 April, 2021",https://arxiv.org/pdf/2104.14431
Discriminative-Generative Dual Memory Video Anomaly Detection,CV,"Xin Guo, Zhongming Jin, Chong Chen, Helei Nie, Jianqiang Huang, Deng Cai, Xiaofei He, Xiansheng Hua","29 April, 2021",https://arxiv.org/pdf/2104.14430
Photonic co-processors in HPC: using LightOn OPUs for Randomized Numerical Linear Algebra,LG,"Daniel Hesslow, Alessandro Cappelli, Igor Carron, Laurent Daudet, Raphaël Lafargue, Kilian Müller, Ruben Ohana, Gustave Pariente, Iacopo Poli","29 April, 2021",https://arxiv.org/pdf/2104.14429
Predicate Invention by Learning From Failures,AI,"Andrew Cropper, Rolf Morel","29 April, 2021",https://arxiv.org/pdf/2104.14426
Parallel Projection -- A New Return Mapping Algorithm for Finite Element Modeling of Shape Memory Alloys,CE,"Ziliang Kang, Daniel A. Tortorelli, Kai A. James","29 April, 2021",https://arxiv.org/pdf/2104.14424
